@id,공포번호,공포일자,법령ID,법령구분명,법령명한글,법령상세링크,법령약칭명,법령일련번호,소관부처명,소관부처코드,시행일자,자법타법여부,제개정구분명,현행연혁코드
118,27792,20170117,010523,대통령령,개성공업지구 지원에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=191176&type=HTML&mobileYn=&efYd=20170128,개성공업지구법시행령,191176,통일부,1250000,20170128,,타법개정,현행
119,00081,20150907,011438,통일부령,개성공업지구 지원에 관한 법률 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=174784&type=HTML&mobileYn=&efYd=20150907,개성공업지구법시행규칙,174784,통일부,1250000,20150907,,타법개정,현행
120,02358,20110928,011467,대법원규칙,개인정보 단체소송규칙,/DRF/lawService.do?OC=tooget&target=law&MST=117412&type=HTML&mobileYn=&efYd=20110930,,117412,대법원,9740000,20110930,,제정,현행
121,14839,20170726,011357,법률,개인정보 보호법,/DRF/lawService.do?OC=tooget&target=law&MST=195062&type=HTML&mobileYn=&efYd=20171019,,195062,행정안전부,1741000,20171019,,타법개정,현행
122,28355,20171017,011468,대통령령,개인정보 보호법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=197834&type=HTML&mobileYn=&efYd=20171019,,197834,행정안전부,1741000,20171019,,일부개정,현행
123,00014,20171019,011471,행정안전부령,개인정보 보호법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=198054&type=HTML&mobileYn=&efYd=20171019,,198054,행정안전부,1741000,20171019,,일부개정,현행
124,29106,20180821,011469,대통령령,개인정보 보호위원회 규정,/DRF/lawService.do?OC=tooget&target=law&MST=204259&type=HTML&mobileYn=&efYd=20180821,,204259,행정안전부,1741000,20180821,,일부개정,현행
125,23077,20110819,002096,대통령령,거절증서령,/DRF/lawService.do?OC=tooget&target=law&MST=116110&type=HTML&mobileYn=&efYd=20110819,,116110,법무부,1270000,20110819,,일부개정,현행
126,12200,20140107,001177,법률,거창사건등 관련자의 명예회복에 관한 특별조치법,/DRF/lawService.do?OC=tooget&target=law&MST=149559&type=HTML&mobileYn=&efYd=20140107,거창사건법,149559,"국방부,행정안전부",1290000 1741000,20140107,,일부개정,현행
127,28211,20170726,002098,대통령령,거창사건등관련자의명예회복에관한특별조치법시행령,/DRF/lawService.do?OC=tooget&target=law&MST=195571&type=HTML&mobileYn=&efYd=20170726,거창사건법시행령,195571,"국방부,행정안전부",1290000 1741000,20170726,,타법개정,현행
